id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id
2018-P,673,882.6811261632525,"Hodge, Mikkal",Leechburg,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,NA,NA,NA,884.5084654945376,0,Spirit,11
2013-P,1374,167.7533345500137,"Hunt, Phil & Jane",Sussex,New Brunswick,Canada,Le Festival Provincial de la Citrouille geante de Neguac Inc.,NA,NA,172.7834085959786,138.45028189931037,19.98158992886576,Big Max,11
2020-P,832,593.1633657328658,"Shortway, Christopher",Perkins,Oklahoma,United States,Smith Farms Giant Pumpkin Weigh-off,870 Baker,870 Baker,279.04061480668753,587.1309769992132,5.989040425848304,Rouge Vif d’Etampes,11
2021-P,112,1677.761555339935,"Boutain, Jeff",Broomfield,Colorado,United States,Fort Collins Nursery Weigh-off,2005 HAIST,1542 URENA,419.7272203296044,1618.2792812016623,6.96614479255976,Howden,11
2013-P,1308,221.32469530105516,"Colburn Jr., Everett",Des Moines,Washington,United States,Washington State Fair,NA,open,211.82958381855371,200.96078858722052,18.22381231961367,Dill's Atlantic,11
2016-P,909,735.0768433338449,"Hodge, Mikkal",Midway,Utah,United States,Thanksgiving Point,1455 Evans,self,337.0550059447852,798.4365396664306,0,Howden,11
2020-P,595,832.903680853281,"Watson, Ben",Lac du Bonnet,Manitoba,Canada,Roland Pumpkin Fair,1420 Kline,Self,327.39872767537565,819.6625554227728,3.0968275853034557,Prizewinner,11
2015-P,1774,52.63774463904065,"Cardenas, Jose",Dallas,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,NA,NA,131.6665162186439,55.67962036829522,0,Champion,11
2021-P,852,544.7990040790622,"Coelho, Cristina",Paredes,Other,Portugal,O Maior da Minha Aldei - Concurso Portugues de Horticolas Gigantes,NA,NA,278.5669786552774,516.3401993725236,5.159852595405544,Blue Hubbard,11
2017-P,931,618.0020411658885,"Spriggs, Jason",Fairfield,Connecticut,United States,Durham Fair Weigh-Off,2075.5 Connolly,self,297.78137775564903,598.4823899313125,NA,Rouge Vif d’Etampes,11
2017-P,913,649.5631571085928,"Quatrouillettes, Les",Edmundston,New Brunswick,Canada,Le Festival Provincial de la Citrouille geante de Neguac Inc.,NA,NA,312.52083457383293,683.7363929104226,0,Prizewinner,11
2020-P,412,1118.4867673466931,"Holland, Joel",CARR,Colorado,United States,Nicks Garden Center Weigh-off,1533.5 Rea,1374.5 Rea,383.4605922077443,1041.3672933202793,1.9913706383951029,Champion,11
2014-P,EXH,779.1457690236701,"Vincent, Gary",NA,Utah,United States,Thanksgiving Point,1592 Urena,1784 Glasier,350.5488768981282,751.0237833976787,0,Big Max,11
2018-P,641,941.3198474155605,"Provencher, Renald",NA,Ontario,Canada,Prince Edward County Pumpkinfest,1608 Bryson 17,open,337.00251326737435,792.4686270809265,13.595072630348152,Big Max,11
2021-P,93,1645.4423395058222,"Hill, John",Huntsburg,Ohio,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,1686 Stelts,1883 Stelts,403.04239897253484,1590.1807117968547,NA,Dill's Atlantic,11
2020-P,562,912.224493679685,"Worthington, Beth",NA,Colorado,United States,Fort Collins Nursery Weigh-off,1246 Hodges,Self,315.2066772486245,854.7417770179667,8.247724244362104,Atlantic Giant,11
2017-P,249,1297.8252519920936,"Hulls, Chris",Bessemer,Pennsylvania,United States,Ridgefield Weigh-off,1985 Miller,1552 Bobier,386.9233155529257,1369.9831071339831,0,Cinderella,11
2018-P,22,1904.8742596628404,"Kamburoff, Julia",Little Valley,New York,United States,PGPGA Great Pumpkin Weigh-off,1867.5 Barron,2003 Haist South,434.1352453334794,1881.5900796633462,8.065356532431991,Wolf,11
2015-P,1469,345.2644639165573,"Anderson, Jim",Pinconning,Michigan,United States,Harnica Farms Great Pumpkin Weigh-off,2032 Mathison,Self,236.554020290879,308.84579727355475,6.024592295374528,Spirit,11
