id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id
2014-P,1333,379.54225504702947,"Cardot, Celine",NA,Other,France,Le Potager Extraordinaire,NA,NA,268.93627415788734,476.0856605363679,0,Early Giant,3
2018-P,400,1163.7392712623348,"Cardena, Jose",Henniker,New Hampshire,United States,Deerfield Fair,2043 Clementz,2261 Wallace,360.86078847233085,1074.7187556261417,8.686625384622772,Connecticut Field,3
2018-P,903,676.5031419226473,"Sherwood, Jim",Mt. Vernon,Washington,United States,Washington State Fair,759.5 Risi,1702 Sherwood,332.413842562611,766.731889981607,0,Casper,3
2016-P,825,883.6134777357763,"Prager, Mike",Wheaton,Illinois,United States,Siegels Cottonwood Farms,2145 McMullen,2145 McMullen,339.75072136275855,747.8686143670024,13.099228851087693,Casper,3
2017-P,1386,280.23592759575155,"Luckenwalde, Team",Oberwellenborn,Thuringia,Germany,Tharinger Meisterschaft,unknown,unknown,238.86672006820265,274.2492681938786,1.0140732941406603,Champion,3
2013-P,1254,267.7893039793779,"Clementz, Mark",San Jose,California,United States,Elk Grove Giant Pumpkin Festival,NA,NA,0,0,0,Rouge Vif d’Etampes,3
2020-P,1155,254.54855313735288,"Agostinelli, Paolo",Semproniano,Tuscany,Italy,Pesa la Zucca! Foiano,NA,NA,222.75823802973733,254.81192082276112,2.989998027249556,Howden,3
2021-P,1359,54.089990665736266,"Mundy, Ezekial",NA,Other,New Zealand,The Great Pumpkin Carnival Hamilton Gardens,NA,NA,0,0,0,Jack O'Lantern,3
2016-P,607,1090.0281830715367,"Plibersek, Ales",NA,Other,Slovenia,Slovenian Weigh-off,NA,NA,374.11473303353307,1074.5635468574085,0,Blue Hubbard,3
2019-P,1319,296.1654066334637,"Hain, Fred",NA,British Columbia,Canada,BC Giant Pumpkin Weigh-off,1543 Carley 2017,Self,238.28970364015015,264.7044271326715,9.96494208353762,Prizewinner,3
2020-P,627,807.0456242583845,"Farr, Daniel",Cullman,Alabama,United States,Kentucky State Fair Largest Pumpkin Contest,1679 Holland,Open,325.0666241798025,844.7655652314286,0,Blue Hubbard,3
2019-P,1233,367.12919861501064,"Patterson, Scott",Lakewood,Colorado,United States,Smith Farms Giant Pumpkin Weigh-off,1580 Wabner,Self,273.0736443472481,437.696084398611,0,Rouge Vif d’Etampes,3
2016-P,633,1027.3832259171897,"Watson, Ben",Langley,British Columbia,Canada,BC Giant Pumpkin Weigh-off,1117 Chan,1427.5 Carley,356.0172031343446,1061.889322433602,0,Early Giant,3
2019-P,964,525.7618530141199,"Hanks, Susan",Pocatello,Idaho,United States,Hee Haw Farms,1471 Marshall,Self,283.58978362113555,567.4226191818173,0,Casper,3
2019-P,656,866.9976098735015,"Gansert, Norman",Placerville,California,United States,Elk Grove Giant Pumpkin Festival,1885 Urena,1889.5 Wallace,339.56522995855624,885.6974898028375,0.9983623979332915,Champion,3
2014-P,1649,124.3317672666919,"Witter, George",San Mateo,California,United States,Uesugi Farms Weigh-off,NA,NA,0,0,0,Dill's Atlantic,3
2015-P,1700,137.85734185323798,"Fitzgerald, Craig",NA,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,NA,NA,205.07523501021876,166.49388580369188,0,Atlantic Giant,3
