id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id
2014-P,773,700.6383816602211,"Buechinger, Michael",Neustift,Styria,Austria,Austrian Weigh-off,934 Schieder,NA,302.6448385568996,725.434655186972,2.028812852718187,Cinderella,5
2017-P,1504,134.90281990533038,"Shumate, Savannah",Moravia,Iowa,United States,Bloomfield Giant Pumpkin Bash,1196 Martin,Self,0,0,0,Champion,5
2014-P,807,732.8787867138981,"Seelow, Wayne",Castle Rock,Washington,United States,Skagit Valley Giant Pumpkin Festival,1791 Holland,1462 Daletas,323.73298563067596,735.2761159790218,3.9275394980440677,Wolf,5
2020-P,186,1468.3382867287055,"Cutrupi, Stefano",Capriolo,Lombardy,Italy,Sfida Nazionale della Zucca - Club Maspiano,2145 Mcmullen 2016,"2416,5 Haist",388.84104559923543,NA,8.009179765297286,Big Moose,5
2018-P,139,1613.4078299756934,"Venters, Josh",Camano Island,Washington,United States,Elysian Giant Pumpkin Weigh-off,1748 Gadberry,2145 McMullen,NA,1576.9666918172663,2.9847805194871238,Autumn Gold,5
2018-P,1268,416.7645194543456,"Althoff, Ryan",Barnesville,Ohio,United States,Barnesville Pumpkin Festival,2112 Skinner,1384 Piazza,274.55923578740124,452.60926447215184,0,Rouge Vif d’Etampes,5
2016-P,1259,383.4993617140068,"Lenart, Chris",Pinconning,Michigan,United States,Central Great Lakes Weigh-off,2323 Meier,2032 Mathison,243.9334737294681,324.1993794502693,8.209297943745865,Cinderella,5
2014-P,357,1123.4421270000257,"Gantner/Bird, Team",Clinton,Iowa,United States,Ryan Norlin Giant Pumpkin Weigh-off,1495 Stelts,1140 Finders,358.79451150899354,1110.6761784210978,4.886562812619173,Spirit,5
2017-P,1526,115.6144665397925,"Takahashi, Masahiro",NA,Other,Japan,Nippon Ichi Dodekabocha Taikai,NA,NA,0,0,0,Autumn Gold,5
2021-P,550,907.1149366242757,"Kearns, Kevin",Canby,Oregon,United States,Terminator,1819 Mendi,1733 Wallace,346.90429706027203,1040.9408641360076,0,Rouge Vif d’Etampes,5
2018-P,1316,400.22671616018084,"Urena, Leonardo",Herald,California,United States,Safeway World Championship Pumpkin Weigh-Off,NA,NA,0,0,0,Champion,5
2015-P,470,1109.3670340153608,"Venters, Gracie",Topsfield,Massachusetts,United States,Topsfield Fair Weigh-off,NA,NA,395.8782295546365,1165.1167301267024,0,Connecticut Field,5
2014-P,1116,525.7777082520029,"Hallowell, Stepen",Menomonee Falls,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,NA,NA,288.91602724778346,602.9776560856562,0,Rouge Vif d’Etampes,5
2020-P,847,681.035860794843,"Schodl, Josef",Berndorf,Lower Austria,Austria,Austrian Weigh-off,2138 Biermans,self,307.91241219326076,619.4501075218164,4.098763238460135,Connecticut Field,5
2014-P,201,1280.4785504207573,"Sinha, Nidhi",Kodersdorf,Other,Germany,Saechsische Meisterschaft im Kurbiswiegen,1749 Hanschmann 13,1789 Wallace 11,381.7365580718917,1079.3738553198514,11.921938838261546,Prizewinner,5
2016-P,1654,22.228810694043055,"Smits, Goya",Aardenburg,Zeeland,The Netherlands,Dutch Giant Vegetable Championship,unknown,open,0,0,NA,Rouge Vif d’Etampes,5
2016-P,621,949.9552621895496,"foss, bill",Bloomington,Indiana,United States,Fair Oaks Farm Cowtoberfest,1734 Clementz,1177 Clementz,347.6349596785222,926.9644710319686,1.960040508943373,Connecticut Field,5
2017-P,516,941.5956585402955,"Henkin, Hanna",Barnesville,Ohio,United States,Operation Pumpkin,2008 Neptune,2008 Neptune,345.32215789989743,998.443627909936,0,Rouge Vif d’Etampes,5
2018-P,590,1024.3758191317786,"Ansems, Chris",Kentville,Nova Scotia,Canada,The Great Howard Dill Giant Pumpkin Classic,1800.5 Hoelke,2002 Tobeck,366.40643919449224,1011.1580869185667,0,Howden,5
2014-P,1444,302.8629532328871,"Daniels, Robert",Rapid City,South Dakota,United States,Great Downtown Pumpkin Festival,1789 Wallace,2009 Wallace,235.4745075196705,316.06562281401887,NA,Early Giant,5
2019-P,509,1072.1390644679732,"Rodriguez, Theresa",Mokena,Illinois,United States,Heaps Giant Pumpkin Farm Illinois Weigh-off,1949 Paton 16,2145 McMullen,350.3570733030904,1002.2411921503888,0,Rouge Vif d’Etampes,5
2020-P,EXH,494.48092665612904,"Glassford, Lynne",London,Ohio,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,Canfield Fair,Canfield Fair,282.9489530606832,537.2915508860159,4.015455621226356,Early Giant,5
2017-P,1189,420.8976718371081,"Hoornstra, Glenn",Emerald Hills,California,United States,Safeway World Championship Pumpkin Weigh-Off,1552 LaRiviere,Open,0,0,0,Howden,5
2019-P,1085,424.7950063708746,"McLean Sr, Cliff",ENNISMORE,Ontario,Canada,Port Elgin Pumpkinfest (Sunday),NA,NA,0,0,0,Cinderella,5
2015-P,1130,557.4296668245643,"Adams, Kathy",NA,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,1233 Sherwood,1135.5 Sherwood,284.6589486575305,553.2053568249117,0,Connecticut Field,5
