id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id
2019-P,771,723.3513319069899,"Magarian, Marc",Midway,Utah,United States,Hee Haw Farms,2077 Brandt,Self,316.61895759572565,749.2487965884648,0,Champion,15
2016-P,1344,361.07131614717866,"Andres, Norbert",NA,Saxony,Germany,Saechsische Meisterschaft im Kurbiswiegen,NA,NA,242.0853803917873,322.0852679555599,5.017957022281747,Champion,15
2020-P,96,1829.2627235567118,"Friesen, Dan",NA,Quebec,Canada,Port Elgin Pumpkinfest (Sunday),2294 Noel,SIB,0,0,0,Rouge Vif d’Etampes,15
2019-P,1169,377.41027225080603,"Tittmann, Sven",Werder,Brandenburg,Germany,Wiegemeisterschaft Berlin/Brandenburg,NA,NA,246.7431844737763,426.6566754331119,0,Spirit,15
2015-P,849,751.3810364586276,"Pollock, Mark",Mill Creek,Nova Scotia,Canada,The Great Howard Dill Giant Pumpkin Classic,1253 Kline,1389 Northrup,0,0,0,Cinderella,15
2020-P,1338,80.49146181066041,"Kuroda, Takahito","Kuwana, Mie",Other,Japan,Nippon Ichi Dodekabocha Taikai,NA,NA,0,0,0,Big Moose,15
2016-P,1524,170.47658755230617,"Martin, Glen & Margaret",Morgan Hill,California,United States,Safeway World Championship Pumpkin Weigh-Off,NA,NA,0,0,0,Atlantic Giant,15
2020-P,1141,281.02456828110405,"Clayton, Ireland",Johnston,Rhode Island,United States,SNGPG Frerichs Farm Weigh-off,NA,NA,234.3553361788168,298.6166811781991,0,Connecticut Field,15
2018-P,872,729.1978538402159,"Paton, Ian & Stuart",NA,England,United Kingdom,Royal Victoria Country Park,Schafer,Self,0,0,0,Blue Hubbard,15
2013-P,67,1366.486978502309,"Menting, Joe & Kaarina",Waterville,Ohio,United States,Oakland Nursery Weigh-off,2009 Wallace,1603 Glasier,400.17176179580804,1580.1048575074644,0,Champion,15
2018-P,347,1198.1861992302254,"Groenwold, Phil",Ithaca,New York,United States,Saratoga Giant Pumpkin Fest,2003.5 Haist,1867 Baron,367.02199596536565,1129.3837215042165,3.867371600910598,Atlantic Giant,15
2021-P,667,727.0830572422427,"Emert, Ron",Greene,Rhode Island,United States,Vermont Growers Weigh-off,1625 Gansert,926 Gansert,336.5448702559049,845.6944300891788,0,Early Giant,15
2021-P,146,1640.2987401038868,"Melka, Friedrich",Sebersdorf,Lower Austria,Austria,Austrian Weigh-off,2226.8 Boonen,2226.8 Boonen,412.6996989018064,1651.9854984854974,0,Connecticut Field,15
2019-P,1671,69.66395699611095,"Bartel, Olivia",Lloydminster,Alberta,Canada,Great White North Pumpkin Weigh-off and Fair,NA,NA,0,0,0,Big Moose,15
2013-P,1506,64.54435718334551,"Topini, Giuseppe",Siena,Other,Italy,Pesa la Zucca! Foiano,NA,NA,155.20824336849498,92.18924940546171,0,Wolf,15
2013-P,DMG,749.5668154505295,"Marsh, Kevin",South Jordan,Utah,United States,Thanksgiving Point,NA,NA,0,0,0,Casper,15
2013-P,344,983.7861553258176,"Searle, Logan",Glenoma,Washington,United States,Country Farm and Feed,1520 speerry,self,351.45537057231195,921.9036936959316,4.950296275515378,Connecticut Field,15
2014-P,135,1421.9035615975586,"Osmonson, Jim",Kirkland,Washington,United States,Central Market Giant Pumpkin Weigh-off,1791 holland,1623 wallace,396.1403593229146,1235.2582167626144,10.05468511148996,Wolf,15
2018-P,1119,553.295917223477,"DeVries, Joan",Hanson,Massachusetts,United States,SNGPG Frerichs Farm Weigh-off,1914.5 Sperry,621 Gansert,298.98203444416555,612.4935765596521,0,Dill's Atlantic,15
2014-P,1652,116.96793827268792,"Blaziek, Vernon",Barnesville,Ohio,United States,Barnesville Pumpkin Festival,NA,NA,167.9977793827358,117.20202448514112,0,Connecticut Field,15
2013-P,185,1131.5282943459338,"Rendell, Jody",Shawville,Quebec,Canada,Huglis Blueberry Ranch,2009 Wallace,1818.5 Bryson,371.9243711309895,NA,0,Wolf,15
2016-P,260,1303.9420254092045,"Rosquita, Paul",Oneida,Tennessee,United States,Farm Yall Festival,1916 Barron,2230 Wallace,382.5867446620617,1012.7948429628625,15.584349734624276,Cinderella,15
2014-P,274,1180.5987197577606,"Ansems, Carter",St. Thomas,Ontario,Canada,Port Elgin Pumpkinfest,1622 Young,1789 Wallace,0,0,0,Dill's Atlantic,15
2018-P,1525,223.1620538782955,"freres, Pumas",Mission,British Columbia,Canada,BC Giant Pumpkin Weigh-off,1339 Chan,Open,209.39536324904262,189.34812002220355,24.640279175026908,Dill's Atlantic,15
2015-P,EXH,967.4682240503281,"Giffen, Ralph",Winkler,Manitoba,Canada,Roland Pumpkin Fair,NA,NA,NA,0,0,Cinderella,15
2015-P,1634,196.87903714811677,"Masurat, Ken and Marilyn",Susquehanna,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,680 Gerhardt,288 buglio,205.7629245547638,220.81344469172313,0,Big Max,15
2019-P,1167,384.93498367097556,"Rodler, Bernd",NA,Lower Austria,Austria,Austrian Weigh-off,NA,NA,250.2767214234587,385.9926247051501,5.096986546504406,Casper,15
2021-P,1140,244.4654143839498,"Williams, John",St Marys,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,Ukraine,Self,236.51916515147306,318.0941954533473,0,Spirit,15
2015-P,835,895.9917715864003,"White, Tom",Gig Harbor,Washington,United States,Elysian Giant Pumpkin Weigh-off,NA,NA,NA,983.1114448519618,0,Big Moose,15
2013-P,1219,285.48908933585983,"Keenan, Tom",Zimmerman,Minnesota,United States,Apple Jack Orchards,Unknown,Open,0,NA,0,Dill's Atlantic,15
2018-P,1349,348.499310141971,"Roy, Jeff",Bartlesville,Oklahoma,United States,Republic Pumpkin Daze,NA,NA,0,0,0,Dill's Atlantic,15
2018-P,643,923.9438973838046,"Terry, Jason",Taylorsville,Utah,United States,Thanksgiving Point,1386.5 Sadiq,open,342.2402278358591,889.7528615018679,5.904609790019242,Blue Hubbard,15
2021-P,1228,194.8511064177979,"Lopresti, Charlie",Lexington,North Carolina,United States,Spring Hope National Pumpkin Festival,tiger king,NA,207.19107541155185,187.54296505756318,0,Atlantic Giant,15
2018-P,673,888.122742802265,"Johnson, Brittany",Susquehanna,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,NA,NA,339.9871386885415,890.7655320761531,0,Autumn Gold,15
2016-P,698,978.4406663538235,"Shenfish, Gary",New Middletown,Ohio,United States,Ohio State Fair,1317 Clementz,Self,331.7916727090876,NA,10.830500383126415,Big Moose,15
2015-P,209,1351.7714049947003,"Gates, Daniel",Macedon,New York,United States,The Great Pumpkin Farm World Pumpkin Weigh-off,1985 Miller,1916 Barron,365.12515089586645,1296.6539266904924,7.198840719884748,Dill's Atlantic,15
2021-P,1267,133.7723172909437,"Keys, Laural",Harned,Kentucky,United States,Kentucky State Fair Largest Pumpkin Contest,NA,NA,173.90723815937946,135.80525914745513,0,Autumn Gold,15
